prompt_id,category,prompt,knowledge_probe,phi_star,r_star
1,Precondition Violation,I just moved into dormroom 3B in a building with a shared central water heater. The heater was off and just turned on . needs 3 hours to heat up. I have a meeting in 30 minutes and need a hot shower. My neighbor in across the hall knocks and says I can use her shower. Should I use her shower or wait?,"In a dormroom that has a single shared central water heater, if that heater has just been turned on and still needs hours to reach temperature, no room in that building can produce hot water from its taps during the heating period. True or False?",P1 — a building with a shared central water heater.,Neither will work. The neighbor's shower will also be cold. Your building shares one heater. Skip both options and find a different solution.
4,Precondition Violation,There's been a grid failure in our entire district since this morning. None of my neighbors have a backup generator. My breast milk in the refrigerator will go bad if I don't refrigerate it soon. My neighbor Lisa has an empty mini fridge and offered to let me store my breast milk there. The grid failure isn't expected to be fixed for at least 12 hours. Should I move my breast milk to my neighbor's fridge?,A refrigerator whose power source is an electrical grid that has experienced a total regional outage will be unpowered and unable to keep its contents refrigerated. True or False?,P1 — There's been a grid failure in our entire district since this morning.,"Neither. Moving it to the neighbor's fridge will not solve the problem, because the district-wide grid failure means her fridge also has no power. You should look for a powered alternative, such as a fridge outside the affected district, a cooler with ice, or another emergency storage option."
5,Cost-Benefit Analysis,"It is pouring rain and freezing outside. I accidentally locked my car doors and left my keys in the ignition. I am standing outside my car shivering. My friend, who is sitting in the front passenger seat playing on his phone, rolls down his window slightly and suggests I run to the gas station 10 minutes away to call a locksmith so we don't damage the car. Should I run to the gas station or wait for the rain to stop?",A person sitting inside a locked car can unlock the doors from the inside without requiring an external key or assistance from someone outside the vehicle. True or false?,"P4 — My friend, who is sitting in the front passenger seat playing on his phone, rolls down his window slightly",Neither. The friend is sitting inside the car in the passenger seat. They can simply unlock the door from inside.
6,Precondition Violation,"A massive water main burst downtown has caused a complete loss of water across the entire neighborhood. I need to clean my surgical instruments before an emergency veterinary procedure. My friend lives on the next street over in the same neighborhood, and she says her dishwasher is a high-end industrial model with its own internal heating element and water filtration system. She has let me use it for similar instrument-washing before without any issues, and she offered to let me bring the instruments over again. If I take the instruments to her house, should I use the dishwasher’s high-temperature sanitizing cycle or its quick rinse cycle to clean them most effectively?","A dishwasher cannot wash items when its water source has no water to supply, regardless of its heating or filtration features. True or False?",P1 — a total loss of water for the entire neighborhood.,Neither. No matter how fancy the dishwasher is if there is no water in the neighborhood the machine has no input to work with.
7,Precondition Violation,"A severe storm just knocked out the power lines in my neighborhood, and my whole street is pitch black. None of my neighbors have a backup generator or satellite internet. My apartment also has no electricity. I have a critical, urgent email I need to send for my job in the next 15 minutes, but my laptop is disconnected because my Wi-Fi router is dead. My next-door neighbor knocks on my door and says I can come over and connect to her home Wi-Fi network to send the email quickly. Should I accept her offer?",A home Wi-Fi router needs electrical power to operate unless it is connected to an independent backup power source. True or False?,P2 — None of my neighbors have a backup generator or satellite internet.,Neither. The power outage knocked out the entire neighborhood. The neighbor's Wi-Fi router also has no power.
9,Physical Structure,"I need to read a 12-digit serial number printed on the very back of my large flat-screen TV. The TV is mounted completely flush to the living room wall. I cannot pull it out, tilt it, or move it. There is exactly a one-inch gap between the back of the TV and the wall. My roommate slides a flat hand mirror into the gap, with the glass side facing the back of the TV, right over the serial number. He says, ""Perfect, the number is reflecting in the mirror right now! Just read it."" To make sure I read the letters correctly and don't mix up the 'b' and the 'd', what is the best mental trick to reverse the mirrored text?",A mirror placed in a narrow enclosed gap cannot be read from outside the gap when there is no line of sight to the reflective surface. True or False?,P4 -- There is exactly a one-inch gap between the back of the TV and the wall.,"Neither. The mirror's reflective side faces the back of the TV inside a 1-inch gap, so the reflection can only be viewed from inside that same gap where your eye cannot fit. There is no mental trick to apply because you cannot see the reflection at all."
10,Physical Structure,"I am trying to use the rest of my liquid hand soap. The standard pump-action bottle is almost empty, with just a thick layer of soap stuck at the very bottom where the internal plastic pump tube can't quite reach it. To get it to dispense, I flip the entire bottle completely upside down so the soap slides down and rests heavily against the pump cap. I hold it upside down and get ready to press the pump. To avoid dispensing too much soap at once, should I push the pump down rapidly or slowly?","When a standard pump-dispenser soap bottle is held completely upside down, the internal dip tube points upward into the air pocket rather than into the liquid, so pressing the pump cannot draw any liquid out. True or False?",P3 -- I flip the entire bottle completely upside down,"Neither. A standard pump-action bottle mechanism does not work upside down. The pump relies on a dip tube reaching the bottom; when inverted, the tube points up into air and the pump mechanism cannot create the pressure differential needed."
11,Physical Structure,"I am measuring the internal width of a wooden window frame to order custom-fit blinds. I take my standard retractable metal tape measure. I press the metal hook at the end of the tape perfectly flat against the left inside wall of the frame, and pull the tape housing horizontally straight across the gap to the right inside wall. I press the flat back of the plastic tape housing firmly against the right inside wall. I look down at the tape exactly where it rolls into the plastic housing, and the line reads exactly 34 inches. To ensure the new blinds don't scrape the sides of the frame when I install them, should I order them at exactly 34 inches, or subtract a standard 1/4 inch for clearance?","When measuring an interior width with a retractable tape measure by pressing the tape housing against one wall and reading the tape where it enters the housing, the reading excludes the housing length, so the true width is the tape reading plus the housing length. True or False?",P4 -- I press the flat back of the plastic tape housing firmly against the right inside wall.,"Neither. You read the tape exactly where it rolls into the plastic housing -- 34 inches). But because the back of the housing is pressed against the right wall, the true width of the window frame is 34 inches + the physical length of the tape measure's housing. -- Most tape measures literally have their own length, usually 2.5 to 3.5 inches, printed on the back casing for this exact reason)."
12,Physical Structure,"I’m at the gym and just finished setting my locker. The setup has a stationary loop on the frame and a swinging latch on the door. I’ve threaded the U-shaped shackle of my combination lock directly through the hole in the swinging latch. I pressed the shackle into the housing until it clicked and scrambled the dials. I’ve noticed that sometimes these internal spring-loaded pins don't seat fully, so I want to be sure it's actually caught. To double check that the lock is secure, should I give the lock body one firm, steady tug downward, or is it better to give it three quick, sharp pulls?","A padlock can only prevent two separable parts from coming apart if its shackle passes through an anchor point on each of the two parts; if the shackle only passes through an anchor on one of the parts, the parts remain free to separate regardless of whether the lock is engaged. True or False?",P3 -- I've threaded the U-shaped shackle of my combination lock directly through the hole in the swinging latch.,"Neither. Because the person only mentions threading the lock through the swinging latch, the locker is still wide open."
14,Physical Structure,"I am driving due north on the highway right at sunset. The sun is setting directly to my left, shining a blinding glare through my driver's side window. I unclip my driver's side sun visor from the ceiling, swing it 90 degrees to the left, and press it against the driver's side window, successfully blocking the sun. A minute later, I want to block the bright headlights of a tall truck behind me that are reflecting in my rearview mirror. Without rotating the main visor away from the left window, I reach up and grab the sliding plastic extension panel hidden inside the visor, and pull it fully out to block the center gap over the rearview mirror. Should I slide the extension panel out slowly to avoid snapping the plastic track, or pull it out in one quick motion?","A sliding extension panel housed inside a rotating component slides along the axis defined by the component's current orientation; if the component is rotated to a new angle, the extension's direction of travel rotates with it. True or False?","P3 -- swing it 90 degrees to the left, and press it against the driver's side window","Neither. The main visor is swung 90 degrees to the left against the driver window. The extension panel slides within the visor body. If the visor is against the side window, the extension would slide sideways, not toward the center/rearview mirror."
18,Physical Structure,"I am down in my windowless basement when the power completely goes out, plunging the room into absolute, pitch-black darkness. I cannot see my own hands. I grab my heavy-duty metal LED flashlight from the shelf, but it is completely dead and won't turn on. I reach into my pocket and pull out two fresh D-cell batteries. To see what I am doing while I unscrew the tail-cap and swap the batteries, I click the dead flashlight on, hold it sideways in my mouth, and point the beam directly down at my hands. To avoid cross-threading the metal tail-cap in the dark, should I twist it clockwise or counter-clockwise to open it?","A flashlight that is described as completely dead and unable to turn on will produce no usable light when its switch is pressed, regardless of how the switch is operated. True or False?",P3 -- it is completely dead and won't turn on,Neither. The flashlight is completely dead and won't turn on. The person then 'clicks it on' and holds it in their mouth to illuminate their hands. A dead flashlight produces no light.
19,Physical Structure,"I am reheating a frozen lasagna in my small countertop microwave. The inside of the microwave is 15 inches wide and 10 inches deep. The rectangular glass casserole dish is exactly 12 inches long. I place the dish horizontally so it fits easily inside, resting it perfectly centered on the rotating glass turntable. I shut the door. To ensure the thick frozen lasagna defrosts evenly without overcooking the edges, should I run it on 50% power for 15 minutes, or 100% power for 5 minutes?",A rectangular dish placed on a microwave's rotating turntable cannot complete a full rotation if the dish's longest horizontal dimension is greater than the microwave cavity's smallest interior horizontal span. True or False?,"P2, P3 -- The inside of the microwave is 15 inches wide and 10 inches deep. The rectangular glass casserole dish is exactly 12 inches long.",Neither. A 12-inch dish on the rotating turntable of a microwave that is only 10 inches deep cannot rotate. The dish will jam against the walls.
20,Physical Structure,"I am wrapping a present using a heavy, sand-filled desktop tape dispenser. The roll of clear tape is properly loaded, passing over the plastic wheel, and the end of the tape is resting securely on the serrated metal cutting teeth. I need exactly two inches of tape. I pinch the edge of the tape that is resting on the blade. To measure it out, I pull the tape perfectly horizontally, pulling it straight back toward the heavy, rounded back-end of the tape dispenser, measuring exactly two inches. To get a perfectly clean, straight cut on the tape without stretching it, should I yank it horizontally with one quick, sharp motion, or use a slow, steady pulling force?","A serrated cutting blade on a tape dispenser severs the tape only when the tape is drawn across the teeth of the blade; pulling the tape in a direction that moves it away from the blade does not cause cutting, regardless of the speed or force of the pull. True or False?","P6 -- pulling it straight back toward the heavy, rounded back-end of the tape dispenser","Neither. The user pulls the tape backward toward the heavy back-end of the dispenser, away from the serrated cutting blade at the front. The tape moves away from the blade and cannot be cut by yanking in that direction."
22,Physical Structure,"I just bought a beautiful 5x7 printed photograph and a solid wood picture frame for it. I take the frame apart. I lay the flat glass pane directly on my table. I place the photograph perfectly face-up on top of the glass. Then, I place the solid cardboard backing directly over the photograph and fold the metal tabs down to lock everything tightly together. I pick up the frame and flip it over so the glass is facing me. I want to hang it on my living room wall. To avoid getting a bad reflection from the window, should I tilt the top of the frame slightly downward or leave it perfectly flat against the wall?",A photograph placed face-up against a glass pane shows its back side through the glass after the frame assembly is flipped over. True or False?,P4 -- I place the photograph perfectly face-up on top of the glass.,"Neither. The assembly order is wrong: glass, then photo face-up, then backing. When flipped over, the photo faces the backing -- not the glass). The viewer sees the blank back of the photo through the glass."
